clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCA	codon_GAT	codon_GCG	codon_TTT	codon_ACT	codon_ACC	codon_TGC	codon_CAC	codon_ATC	codon_TGG	codon_CCC	codon_CAT	codon_CCT	codon_TCG	codon_GTG	codon_GGC	codon_AGG	codon_GGA	codon_GGG	codon_GCC	codon_CAG	codon_GCT	codon_AAC	codon_CCG	codon_TGT	codon_TAC	codon_CTC	codon_CGG	codon_CTG	codon_ACG	codon_AGC	codon_CGC	codon_CGT	codon_GAC	codon_GAG	codon_ATG	codon_CTA	codon_AAT	codon_TCC	codon_AAG	codon_GCA	codon_TTG	codon_CGA	codon_CAA	codon_TCA	codon_TTC	codon_GGT	codon_AGT	codon_CTT	codon_TCT	codon_GAA	codon_ACA	codon_TAT	codon_GTT	codon_AAA	codon_GTA	codon_ATT	codon_GTC	codon_AGA	codon_TAG	codon_ATA	codon_TGA	codon_TAA	codon_TTA
NC_072418.2	1::NC_072418.2:3760878-3766029	5151	False	0.7346	2	28.0	9.0	56.0	6.0	7.0	44.0	24.0	28.0	20.0	10.0	112.0	6.0	20.0	39.0	51.0	77.0	15.0	16.0	41.0	139.0	59.0	21.0	14.0	57.0	3.0	13.0	30.0	62.0	101.0	23.0	77.0	62.0	9.0	60.0	93.0	10.0	4.0	3.0	59.0	48.0	28.0	5.0	15.0	3.0	7.0	17.0	8.0	6.0	8.0	11.0	8.0	8.0	2.0	1.0	5.0	3.0	4.0	17.0	5.0					
NC_072418.2	-3::NC_072418.2:11724010-11746741	22731	False	0.4881	2	45.0	148.0	5.0	103.0	140.0	74.0	120.0	182.0	101.0	196.0	81.0	236.0	86.0	3.0	69.0	132.0	305.0	377.0	122.0	66.0	126.0	213.0	88.0	5.0	549.0	47.0	221.0	14.0	93.0	5.0	122.0	18.0	36.0	100.0	64.0	95.0		97.0	99.0	102.0		75.0	15.0	99.0		237.0	475.0	358.0	80.0	100.0	64.0	1.0	91.0	69.0	73.0	20.0	76.0	134.0	427.0	33.0	33.0	376.0	56.0	
NC_072418.2	-1::NC_072418.2:11750991-11760702	9711	False	0.4918	2	27.0	52.0	1.0	39.0	93.0	24.0	80.0	44.0	49.0	119.0	49.0	72.0	31.0	2.0	29.0	61.0	94.0	113.0	70.0	33.0	46.0	97.0	40.0	3.0	225.0	24.0	81.0	5.0	42.0	2.0	77.0	4.0	18.0	48.0	51.0	33.0		38.0	75.0	49.0	2.0	18.0	10.0	42.0		89.0	152.0	173.0	45.0	53.0	28.0		29.0	37.0	37.0	12.0	40.0	40.0	173.0	20.0	12.0	163.0	22.0	
NC_072418.2	1::NC_072418.2:25823253-25828371	5118	False	0.4838	1	12.0			116.0	29.0	3.0	6.0	11.0	13.0		26.0	23.0	237.0	7.0	1.0					2.0		5.0	1.0	2.0	5.0	17.0	296.0		10.0		2.0	1.0	5.0				14.0	4.0	258.0			5.0		1.0	12.0	159.0		3.0	162.0	215.0	1.0	2.0	4.0	4.0	3.0	1.0	13.0	5.0			2.0			8.0
NC_072418.2	-2::NC_072418.2:41016431-41022107	5676	False	0.4475	2	36.0	21.0	5.0	145.0	20.0	11.0	29.0	29.0	32.0	29.0	12.0	54.0	52.0	7.0	15.0	45.0	21.0	19.0	14.0	12.0	67.0	18.0	25.0	11.0	31.0	15.0	149.0	4.0	70.0	3.0	33.0	3.0	3.0	14.0	24.0	19.0		23.0	31.0	22.0	5.0	51.0	2.0	40.0		160.0	20.0	18.0	122.0	45.0	9.0	7.0	33.0	14.0	33.0	13.0	12.0	26.0	24.0	29.0	8.0	25.0	23.0	
NC_072418.2	3::NC_072418.2:61477835-61484528	6693	False	0.6047	2	37.0	68.0	10.0	2.0	6.0	58.0	41.0	179.0	1.0	2.0	229.0	9.0	133.0	1.0	1.0	9.0	56.0	31.0	15.0	15.0	112.0	84.0	1.0	6.0	3.0	3.0	200.0	10.0	62.0	7.0	6.0	8.0	4.0	82.0	3.0	18.0	4.0	1.0	155.0	3.0	5.0	3.0	2.0	4.0	64.0	53.0	3.0	3.0	63.0	52.0	6.0	161.0	1.0	5.0	1.0		40.0	2.0	79.0		6.0			3.0
NC_072418.2	1::NC_072418.2:61478466-61488516	10050	False	0.592	2	105.0	40.0	1.0	6.0	4.0	81.0	142.0	232.0	2.0	8.0	354.0	8.0	269.0	1.0	1.0	3.0	79.0	101.0	14.0	7.0	184.0	57.0	3.0	4.0	1.0	12.0	183.0	1.0	94.0	14.0	2.0	1.0	1.0	105.0	4.0	22.0	3.0		245.0	1.0	3.0	4.0	12.0	2.0	94.0	204.0	2.0	2.0	91.0	45.0	4.0	302.0	4.0	3.0	3.0	2.0	68.0	3.0	90.0		14.0			3.0
NC_072418.2	-3::NC_072418.2:68077786-68085172	7386	False	0.5	0				1.0													510.0		1.0																												720.0							510.0						720.0				
NC_072418.2	3::NC_072418.2:68077787-68085173	7386	False	0.4999	0																	720.0		509.0																							1.0					2.0							720.0										510.0
NC_072410.2	1::NC_072410.2:16007553-16012749	5196	False	0.4049	1	46.0	75.0	4.0	80.0	48.0	7.0	17.0	7.0	7.0	19.0	12.0	20.0	44.0	5.0	19.0	23.0	15.0	50.0	13.0	27.0	46.0	49.0	23.0	5.0	27.0	9.0	6.0	5.0	11.0	2.0	25.0	1.0	6.0	14.0	38.0	26.0	11.0	62.0	6.0	50.0	37.0	23.0	6.0	36.0	51.0	27.0	33.0	53.0	16.0	56.0	91.0	62.0	13.0	36.0	101.0	35.0	30.0	5.0	26.0		11.0			24.0
